qid,ql_ndcg,bm25_ndcg,cos_sim_ndcg,bm25Okapi,bm25_impl_one
524722,1.0,1.0,1.0,1.0,1.0
524733,1.0,1.0,1.0,1.0,1.0
1049050,1.0,1.0,0.5,1.0,1.0
1049150,1.0,1.0,0.38685280723454163,1.0,1.0
787101,0.3154648767857289,0.3154648767857289,0.38685280723454163,0.3154648767857289,0.3154648767857289
787235,0.6309297535714573,0.4306765580733929,0.6309297535714573,0.4306765580733929,0.4306765580733929
263052,1.0,1.0,0.5,1.0,1.0
1289,1.0,1.0,1.0,1.0,1.0
788042,,,,,
1050190,0.6309297535714573,0.6309297535714573,0.38685280723454163,0.6309297535714573,0.6309297535714573
43997,0.21274605355336274,0.1934264036172717,0.25,0.19823986317055997,0.1934264036172717
527625,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573
1052272,,,,,
1052313,1.0,1.0,1.0,1.0,1.0
1052632,1.0,1.0,1.0,1.0,1.0
528733,1.0,1.0,1.0,1.0,1.0
1054828,0.2559580248098152,0.2702381544273198,0.16370565544521476,0.2559580248098152,0.2702381544273198
1054952,1.0,1.0,1.0,1.0,1.0
1055873,1.0,1.0,1.0,1.0,1.0
794482,,,,,
1056682,1.0,1.0,1.0,1.0,1.0
270296,1.0,1.0,0.35620718710802235,1.0,1.0
824027,1.0,1.0,0.203795047090507,1.0,1.0
1057280,,,,,
569463,0.08270545417832043,0.08299917285134863,0.08250442582976802,0.08301796681772847,0.08299917285134863
1058371,1.0,0.6309297535714573,0.38685280723454163,0.6309297535714573,0.6309297535714573
10018,1.0,1.0,1.0,1.0,1.0
1059293,1.0,1.0,1.0,1.0,1.0
10797,0.6309297535714573,0.6309297535714573,0.5,0.6309297535714573,0.6309297535714573
535676,1.0,1.0,1.0,1.0,1.0
798353,1.0,1.0,1.0,1.0,1.0
1060868,0.6309297535714573,1.0,0.6309297535714573,1.0,1.0
1060869,0.4306765580733929,0.38685280723454163,0.27894294565112965,0.38685280723454163,0.38685280723454163
537301,1.0,1.0,1.0,1.0,1.0
1062432,0.35620718710802235,0.6309297535714573,0.38685280723454163,0.6309297535714573,0.6309297535714573
969418,0.5,0.28906482631788766,0.21810429198553116,0.3010299956639808,0.28906482631788766
539552,0.3333333333333335,0.4306765580733929,0.3010299956639808,0.4306765580733929,0.4306765580733929
1064315,1.0,1.0,1.0,1.0,1.0
1064624,0.4306765580733929,0.4306765580733929,0.5,0.4306765580733929,0.4306765580733929
1065342,1.0,1.0,1.0,1.0,1.0
803942,1.0,1.0,1.0,1.0,1.0
1066621,,,,,
806140,0.38685280723454163,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573
1068290,1.0,1.0,1.0,1.0,1.0
1068780,,,,,
838689,0.6309297535714573,0.6309297535714573,0.5,0.6309297535714573,0.6309297535714573
283344,1.0,1.0,1.0,1.0,1.0
1100581,0.6309297535714573,1.0,0.35620718710802235,1.0,1.0
1070279,0.6309297535714573,1.0,0.5,1.0,1.0
546126,1.0,1.0,1.0,1.0,1.0
284123,1.0,1.0,1.0,1.0,1.0
284602,1.0,1.0,1.0,1.0,1.0
1071539,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573
547598,1.0,1.0,1.0,1.0,1.0
810791,0.5,0.3154648767857289,0.27894294565112965,0.3010299956639808,0.3154648767857289
811511,0.46533827903669644,0.5,0.6309297535714573,0.5,0.5
287270,0.23540891336663794,0.19055141242677287,0.3333333333333335,0.203795047090507,0.19055141242677287
25234,0.4306765580733929,0.5,0.2559580248098152,0.38685280723454163,0.5
25294,0.6309297535714573,0.6309297535714573,0.5,0.6309297535714573,0.6309297535714573
287580,1.0,1.0,1.0,1.0,1.0
26060,1.0,1.0,1.0,1.0,1.0
1075491,0.1335588563457737,0.13299367997086087,0.14581551052860675,0.13299367997086087,0.13299367997086087
1076709,0.6309297535714573,1.0,1.0,1.0,1.0
552764,0.4306765580733929,0.23137821315975948,0.1540392219542639,0.22106472945750344,0.23137821315975948
29385,1.0,1.0,0.27894294565112965,1.0,1.0
1078765,0.24223150434317864,0.22106472945750344,0.28906482631788766,0.22106472945750344,0.22106472945750344
1079431,1.0,1.0,1.0,1.0,1.0
31209,1.0,1.0,1.0,1.0,1.0
293697,0.35620718710802235,0.27894294565112965,0.35620718710802235,0.28906482631788766,0.27894294565112965
555885,1.0,1.0,0.2626495350371938,1.0,1.0
556305,0.4306765580733929,0.5,0.3333333333333335,0.6309297535714573,0.5
1054055,1.0,1.0,1.0,1.0,1.0
1081946,0.3154648767857289,0.21030991785715258,0.17458343004804533,0.203795047090507,0.21030991785715258
1082319,0.38685280723454163,0.4306765580733929,0.22767024869695263,0.4306765580733929,0.4306765580733929
1082325,0.5,0.5,0.23540891336663794,0.5,0.5
1082357,0.5,0.38685280723454163,0.2559580248098152,0.38685280723454163,0.38685280723454163
1082378,1.0,1.0,0.6309297535714573,1.0,1.0
1082442,1.0,1.0,1.0,1.0,1.0
1082522,0.6309297535714573,0.5,1.0,0.5,0.5
1013703,1.0,1.0,1.0,1.0,1.0
1083035,0.19195872000656067,0.2242438242175755,0.16315121968351143,0.2242438242175755,0.2242438242175755
1083038,1.0,1.0,1.0,1.0,1.0
1083103,0.2848189805150795,0.2848189805150795,0.35620718710802235,0.2848189805150795,0.2848189805150795
1083738,1.0,1.0,1.0,0.6309297535714573,1.0
1084173,0.6309297535714573,1.0,0.2242438242175755,1.0,1.0
1084816,1.0,1.0,1.0,1.0,1.0
1084984,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573
1084993,1.0,1.0,1.0,1.0,1.0
1085011,1.0,1.0,1.0,1.0,1.0
36584,1.0,1.0,1.0,1.0,1.0
1085162,0.4306765580733929,0.35620718710802235,0.3154648767857289,0.35620718710802235,0.35620718710802235
1085679,1.0,1.0,1.0,1.0,1.0
1085691,1.0,1.0,1.0,1.0,1.0
1086008,0.201849086582099,0.201849086582099,0.16370565544521476,0.201849086582099,0.201849086582099
561784,1.0,1.0,1.0,1.0,1.0
1086280,1.0,1.0,1.0,1.0,1.0
1086524,0.1707072796637199,0.15643778834207112,0.1999999999999993,0.15686177485943986,0.15643778834207112
300387,0.6309297535714573,1.0,0.6309297535714573,1.0,1.0
1086860,0.0,0.0,0.0,0.0,0.0
562747,1.0,1.0,1.0,1.0,1.0
1087073,0.2593037799235045,0.21030991785715258,0.1879018247091082,0.21030991785715258,0.21030991785715258
1087308,0.6309297535714573,1.0,1.0,1.0,1.0
1087328,1.0,0.4306765580733929,0.3154648767857289,0.38685280723454163,0.4306765580733929
1087357,0.5,0.5,0.4306765580733929,0.5,0.5
