qid,ql_ndcg,bm25_ndcg,cos_sim_ndcg,bm25Okapi,bm25_impl_one
1051341,1.0,1.0,1.0,1.0,1.0
535906,1.0,1.0,1.0,1.0,1.0
1062928,1.0,1.0,1.0,1.0,1.0
540091,1.0,1.0,1.0,1.0,1.0
265685,0.3010299956639808,0.2702381544273198,0.4306765580733929,0.28906482631788766,0.2702381544273198
285598,1.0,1.0,1.0,1.0,1.0
548916,0.0,0.0,0.0,0.0,0.0
25036,0.35620718710802235,0.35620718710802235,0.4306765580733929,0.35620718710802235,0.35620718710802235
1086687,1.0,1.0,1.0,1.0,1.0
1087527,1.0,1.0,1.0,1.0,1.0
1090157,1.0,1.0,1.0,1.0,1.0
1091451,1.0,1.0,0.23981246656813138,1.0,1.0
1094232,1.0,1.0,1.0,1.0,1.0
1096335,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573
1098169,1.0,1.0,1.0,1.0,1.0
1100061,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573
842055,1.0,1.0,1.0,1.0,1.0
533711,1.0,1.0,1.0,1.0,1.0
524141,1.0,1.0,1.0,1.0,1.0
68645,1.0,1.0,1.0,1.0,1.0
1060160,,,,,
860387,1.0,1.0,1.0,1.0,1.0
57070,1.0,1.0,0.35620718710802235,1.0,1.0
1022299,1.0,1.0,1.0,1.0,1.0
894610,1.0,1.0,1.0,1.0,1.0
1066860,0.6309297535714573,0.6309297535714573,0.5,0.6309297535714573,0.6309297535714573
904124,1.0,1.0,1.0,1.0,1.0
644219,1.0,1.0,1.0,1.0,1.0
806583,1.0,0.6309297535714573,1.0,0.6309297535714573,0.6309297535714573
122582,0.4306765580733929,0.5,0.5,0.5,0.5
910150,1.0,1.0,1.0,1.0,1.0
386280,1.0,1.0,1.0,1.0,1.0
125842,0.0,0.0,0.0,0.0,0.0
392208,1.0,1.0,0.6309297535714573,1.0,1.0
130924,1.0,1.0,1.0,1.0,1.0
425217,1.0,1.0,0.6309297535714573,1.0,1.0
945535,1.0,1.0,1.0,1.0,1.0
433432,1.0,1.0,1.0,1.0,1.0
705003,1.0,1.0,1.0,1.0,1.0
979862,0.35620718710802235,0.35620718710802235,0.27894294565112965,0.35620718710802235,0.35620718710802235
457076,1.0,1.0,0.5,1.0,1.0
196949,1.0,1.0,0.4306765580733929,1.0,1.0
462384,1.0,0.5,0.6309297535714573,0.5,0.5
992185,1.0,1.0,1.0,1.0,1.0
994076,1.0,1.0,0.38685280723454163,1.0,1.0
1084087,1.0,1.0,1.0,1.0,1.0
738601,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573
560091,1.0,1.0,1.0,1.0,1.0
1002013,1.0,1.0,0.38685280723454163,1.0,1.0
1005225,0.6309297535714573,1.0,0.6309297535714573,1.0,1.0
484136,1.0,1.0,0.35620718710802235,1.0,1.0
1015558,1.0,1.0,1.0,1.0,1.0
1019405,1.0,1.0,1.0,1.0,1.0
498149,0.16054731014842952,0.16544701895238606,0.203795047090507,0.1660522889338877,0.16544701895238606
1090537,1.0,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573
829087,1.0,1.0,1.0,1.0,1.0
1044632,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573,0.6309297535714573
